,Utilization 1,Utilization 1,Utilization 1,Utilization 2,Utilization 2,Utilization 2,Utilization 3,Utilization 3,Utilization 3,Utilization 4,Utilization 4,Utilization 4,Utilization 5,Utilization 5,Utilization 5,Utilization 6,Utilization 6,Utilization 6,Utilization 7,Utilization 7,Utilization 7,Utilization 8,Utilization 8,Utilization 8,Utilization 9,Utilization 9,Utilization 9,Utilization 10,Utilization 10,Utilization 10
,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax
Inventory qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.07042253521126761,0.2112676056338028,0.43661971830985913,0.14084507042253522,0.32857142857142857,0.5571428571428572,0.22535211267605634,0.4714285714285714,0.8450704225352113,0.7285714285714285,1.0,1.0845070422535212,0.9857142857142858,1.0,1.0285714285714285,0.9857142857142858,1.0,1.0142857142857142,0.9857142857142858,1.0,1.0,0.9857142857142858,1.0,1.0,0.9295774647887324,1.0,1.0,0.7428571428571429,1.0,1.0
150,0.014285714285714285,0.10638297872340426,0.20863309352517986,0.05755395683453238,0.16428571428571428,0.2907801418439716,0.11510791366906475,0.23943661971830985,0.39285714285714285,0.38848920863309355,0.5815602836879432,0.8156028368794326,0.7142857142857143,0.95,1.0215827338129497,0.9928057553956835,0.9929078014184397,1.0,0.9928057553956835,1.0,1.0,0.9928057553956835,1.0,1.0,0.9928057553956835,1.0,1.0,0.8848920863309353,1.0,1.0
225,0.02358490566037736,0.07142857142857142,0.1523809523809524,0.04265402843601896,0.10952380952380952,0.19617224880382775,0.08018867924528301,0.16037735849056603,0.2985781990521327,0.25943396226415094,0.38571428571428573,0.5380952380952381,0.47393364928909953,0.6303317535545023,0.7904761904761904,0.7962085308056872,0.9952153110047847,1.0235849056603774,0.9951923076923077,0.9952830188679245,1.0,0.9951923076923077,0.9952830188679245,1.0,0.9951923076923077,1.0,1.0,0.9330143540669856,1.0,1.0
300,0.01773049645390071,0.05357142857142857,0.1039426523297491,0.03900709219858156,0.08303249097472924,0.15901060070671377,0.06382978723404255,0.12121250635485512,0.199288256227758,0.19494584837545126,0.2907801418439716,0.4028776978417266,0.32269503546099293,0.475,0.6151079136690647,0.5607142857142857,0.7562280735083653,0.910394265232975,0.8049645390070922,0.9855855387891852,1.0142348754448398,0.8297872340425532,0.9964028776978417,1.0071428571428571,0.8469750889679716,0.9963898916967509,1.00355871886121,0.7978723404255319,0.9460431654676259,1.0
375,0.014164305949008499,0.042735042735042736,0.08645533141210375,0.025787965616045846,0.06609195402298851,0.11714285714285715,0.04335260115606936,0.096045197740113,0.14985590778097982,0.16184971098265896,0.23295454545454544,0.32471264367816094,0.2824207492795389,0.37822349570200575,0.48703170028818443,0.47875354107648727,0.603399433427762,0.7241379310344828,0.6522988505747126,0.7847025495750708,0.9479768786127167,0.6704545454545454,0.8068181818181818,0.9631728045325779,0.6770538243626062,0.8011527377521613,0.9450867052023122,0.6246418338108882,0.76,0.9046242774566474
