,Patrons today,Patrons today,Patrons today,Departed wait queue,Departed wait queue,Departed wait queue
,amin,median,amax,amin,median,amax
Inventory qty,,,,,,
75,489,527.5,580,0,18.5,65
95,491,530.5,580,0,0.0,6
115,486,532.0,573,0,0.0,2
135,496,532.5,574,0,0.0,0
155,499,528.0,576,0,0.0,0
