,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
91,141,50,522,0,69,0,0,0,0,55,113,104,89,0.12056737588652482,0.950354609929078,0.18439716312056736,0.24113475177304963,0.5673758865248227,0.8865248226950354,1.0,1.0,1.0,1.0,89.0,3.0,0.0,150
92,139,37,539,0,82,0,0,0,0,76,142,114,90,0.10071942446043165,0.8776978417266187,0.2014388489208633,0.30935251798561153,0.6402877697841727,0.935251798561151,1.0,0.9928057553956835,1.0,1.0,86.0,5.0,0.0,150
93,141,70,543,0,54,0,0,0,0,70,124,105,78,0.10638297872340426,1.0,0.14893617021276595,0.1773049645390071,0.5957446808510638,0.9219858156028369,0.9929078014184397,1.0,1.0,1.0,88.0,2.0,0.0,150
94,139,57,541,0,59,0,0,0,0,75,115,94,81,0.11510791366906475,0.9424460431654677,0.2014388489208633,0.2733812949640288,0.6690647482014388,0.9640287769784173,0.9928057553956835,0.9928057553956835,1.0,1.0,88.0,5.0,0.0,150
95,140,61,528,0,31,0,0,0,4,76,97,84,54,0.07857142857142857,0.9714285714285714,0.15714285714285714,0.32142857142857145,0.6428571428571429,0.9928571428571429,0.9928571428571429,0.9928571428571429,1.0,1.0,88.0,11.0,0.0,150
96,141,53,567,0,97,0,0,0,9,97,158,145,108,0.14893617021276595,0.9290780141843972,0.23404255319148937,0.3546099290780142,0.6099290780141844,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,86.0,7.0,0.0,150
97,139,53,547,0,61,0,0,0,11,88,138,132,85,0.1223021582733813,0.9784172661870504,0.17985611510791366,0.3237410071942446,0.7266187050359713,0.9928057553956835,1.0,0.9928057553956835,0.9928057553956835,1.0,89.0,4.0,0.0,150
98,141,45,533,0,88,0,0,0,0,73,133,120,102,0.11347517730496454,0.9361702127659575,0.2127659574468085,0.3191489361702128,0.6170212765957447,0.9716312056737588,0.9929078014184397,0.9929078014184397,1.0,1.0,88.0,5.0,0.0,150
99,141,17,512,0,109,0,0,0,0,48,132,118,116,0.07801418439716312,0.8723404255319149,0.1276595744680851,0.1702127659574468,0.49645390070921985,0.900709219858156,1.0,0.9929078014184397,1.0,1.0,83.0,3.0,0.0,150
100,141,38,552,0,112,0,0,0,4,82,138,148,137,0.10638297872340426,1.0,0.14893617021276595,0.23404255319148937,0.5886524822695035,1.0,0.9929078014184397,1.0,0.9929078014184397,0.9929078014184397,88.0,8.0,0.0,150
101,139,74,525,0,39,0,0,0,3,86,111,88,71,0.1079136690647482,1.0,0.1223021582733813,0.3237410071942446,0.6618705035971223,0.9928057553956835,1.0,1.0,1.0,1.0,86.0,15.0,0.0,150
102,141,46,519,0,66,0,0,0,0,67,110,118,92,0.07801418439716312,0.9929078014184397,0.19858156028368795,0.24822695035460993,0.5319148936170213,0.9432624113475178,1.0,1.0,0.9929078014184397,1.0,84.0,2.0,0.0,150
103,141,43,491,0,55,0,0,0,0,58,110,88,65,0.10638297872340426,0.9078014184397163,0.15602836879432624,0.2553191489361702,0.5319148936170213,0.8368794326241135,1.0,1.0,1.0,0.9929078014184397,86.0,0.0,0.0,150
104,140,31,525,0,89,0,0,0,0,85,131,103,98,0.08571428571428572,0.9,0.15,0.2,0.5,0.9285714285714286,0.9928571428571429,0.9928571428571429,1.0,0.9928571428571429,81.0,8.0,0.0,150
105,141,41,506,0,62,0,0,0,0,40,110,95,76,0.09219858156028368,0.9078014184397163,0.10638297872340426,0.19858156028368795,0.49645390070921985,0.7446808510638298,0.9929078014184397,0.9929078014184397,1.0,1.0,88.0,0.5,0.0,150
106,140,43,534,0,97,0,0,0,0,65,143,128,109,0.1357142857142857,0.9071428571428571,0.25,0.2857142857142857,0.6928571428571428,0.9357142857142857,1.0,0.9928571428571429,0.9928571428571429,0.9928571428571429,85.0,5.0,0.0,150
107,140,33,524,0,71,0,0,0,0,55,136,96,72,0.10714285714285714,0.8428571428571429,0.14285714285714285,0.15714285714285714,0.45714285714285713,0.7571428571428571,1.0,0.9928571428571429,1.0,1.0,86.0,4.5,0.0,150
108,142,63,566,0,77,0,0,0,6,91,133,106,94,0.08450704225352113,0.9295774647887324,0.21830985915492956,0.2887323943661972,0.6830985915492958,0.9929577464788732,1.0,0.9929577464788732,0.9929577464788732,1.0,82.0,17.5,0.0,150
109,142,30,509,0,78,0,0,0,0,55,91,86,95,0.1056338028169014,0.9225352112676056,0.15492957746478872,0.2676056338028169,0.5140845070422535,0.852112676056338,0.9929577464788732,1.0,1.0,0.9929577464788732,85.0,1.0,0.0,150
110,141,71,547,0,55,0,0,0,7,99,133,91,61,0.0851063829787234,0.9290780141843972,0.22695035460992907,0.24822695035460993,0.6028368794326241,0.9929078014184397,0.9929078014184397,0.9929078014184397,1.0,0.9929078014184397,84.0,9.0,0.0,150
111,140,21,499,0,85,0,0,0,0,58,104,99,89,0.14285714285714285,0.85,0.16428571428571428,0.20714285714285716,0.5142857142857142,0.9214285714285714,0.9928571428571429,1.0,1.0,1.0,89.0,0.0,0.0,150
112,141,73,508,0,57,0,0,0,0,75,133,107,69,0.05673758865248227,0.900709219858156,0.1276595744680851,0.2127659574468085,0.5886524822695035,0.9148936170212766,0.9929078014184397,1.0,0.9929078014184397,1.0,89.0,8.0,0.0,150
