,Utilization 1,Utilization 1,Utilization 1,Utilization 2,Utilization 2,Utilization 2,Utilization 3,Utilization 3,Utilization 3,Utilization 4,Utilization 4,Utilization 4,Utilization 5,Utilization 5,Utilization 5,Utilization 6,Utilization 6,Utilization 6,Utilization 7,Utilization 7,Utilization 7,Utilization 8,Utilization 8,Utilization 8,Utilization 9,Utilization 9,Utilization 9,Utilization 10,Utilization 10,Utilization 10
,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax,amin,median,amax
Inventory qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.05714285714285714,0.22535211267605634,0.37142857142857144,0.17142857142857143,0.32625754527162976,0.5857142857142857,0.29577464788732394,0.4714285714285714,0.647887323943662,0.7857142857142857,1.0,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,0.9859154929577465,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,1.0,1.0,0.9857142857142858,1.0,1.0,0.7857142857142857,0.9285714285714286,1.0
150,0.014388489208633094,0.10600839077015284,0.16428571428571428,0.08450704225352113,0.17142857142857143,0.25,0.15714285714285714,0.24199594731509624,0.36428571428571427,0.45323741007194246,0.5729810517782956,0.7697841726618705,0.7446808510638298,0.9432624113475178,1.0,0.9928057553956835,0.9929078014184397,1.0,0.9928057553956835,0.9964788732394366,1.0,0.9928057553956835,1.0,1.0,0.9928057553956835,1.0,1.0,0.8273381294964028,0.9361702127659575,1.0
225,0.04245283018867924,0.07379354136429608,0.1320754716981132,0.06132075471698113,0.1134758114995976,0.18009478672985782,0.0995260663507109,0.16627172195892576,0.23222748815165878,0.28708133971291866,0.3875598086124402,0.5023923444976076,0.4786729857819905,0.6359317714387911,0.7692307692307693,0.8421052631578947,0.9952267031214399,1.0,0.9951923076923077,0.995260663507109,1.0,0.9858490566037735,0.995260663507109,1.0,0.981042654028436,0.995260663507109,1.0,0.8773584905660378,0.9571428571428572,1.0
300,0.017921146953405017,0.05415162454873646,0.08633093525179857,0.035842293906810034,0.0788540596094553,0.12099644128113879,0.07220216606498195,0.1162723711498579,0.16725978647686832,0.2,0.2946451349558651,0.37050359712230213,0.3597122302158273,0.4722776966996953,0.5899280575539568,0.6548042704626335,0.7664912682071228,0.8633093525179856,0.8381294964028777,0.9821428571428571,1.0,0.8884892086330936,0.9964028776978417,1.0,0.8904593639575972,0.991051813404936,1.0,0.841726618705036,0.9412811387900355,1.0
375,0.017191977077363897,0.04285714285714286,0.08045977011494253,0.040345821325648415,0.06896551724137931,0.10632183908045977,0.06609195402298851,0.09714285714285714,0.1501416430594901,0.1846590909090909,0.23680504680504683,0.29428571428571426,0.2914285714285714,0.37714285714285717,0.4697406340057637,0.5228571428571429,0.6028620641801158,0.7,0.6619318181818182,0.7844827586206896,0.9048991354466859,0.7065527065527065,0.8085714285714286,0.8994252873563219,0.7048710601719198,0.8085714285714286,0.9028571428571428,0.670487106017192,0.7621086552432284,0.86
