,Patrons_waiting 1,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Patrons_waiting 10
,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax
Inventory qty,,,,,,,,,,
75,0,0,0,41,104,168,213,188,174,143
150,0,0,0,0,33,121,181,171,155,135
225,0,0,0,0,0,45,113,123,117,94
300,0,0,0,0,0,0,48,61,53,30
375,0,0,0,0,0,0,0,0,0,0
